Primary Category	Secondary Category	Title	URL
Arts & Humanities	Architecture	68 Dean Street	http://www.sixty8.com/
Arts & Humanities	Architecture	Abandoned Communities	http://www.abandonedcommunities.co.uk/
Arts & Humanities	Architecture	Alexander Thomson Society	http://www.greekthomson.com/
Arts & Humanities	Architecture	Arab British Centre, The	http://www.arabbritishcentre.org.uk/ 
Arts & Humanities	Architecture	Architectural Association School of Architecture	http://www.aaschool.ac.uk/
Arts & Humanities	Architecture	Architectural Humanities Research Association (AHRA)	http://www.ahra-architecture.org/
Arts & Humanities	Architecture	Architecture.com - from the Royal Institute of British Architects (RIBA)	http://www.architecture.com/
Arts & Humanities	Architecture	Architecture.com: Royal Institute of British Architects (RIVA) General Election 2010	http://www.architecture.com/TheRIBA/WhatTheRIBADoes/PublicAffairs/RIBAManifesto.aspx
Arts & Humanities	Architecture	Architecture_media_politics_society	http://architecturemps.com/
Arts & Humanities	Architecture	Artek Design House Ltd	http://www.artek-design-house.co.uk/
Arts & Humanities	Architecture	BBC News: Birmingham Central Library to make way for Paradise Circus development	http://www.bbc.co.uk/news/uk-england-birmingham-20808701
Arts & Humanities	Architecture	BBC News: Poet's birthplace goes on sale	http://news.bbc.co.uk/1/hi/england/2707593.stm
Arts & Humanities	Architecture	BBC News: Rijksmuseum set for grand reopening in Amsterdam	http://www.bbc.co.uk/news/entertainment-arts-22024351
Arts & Humanities	Architecture	BRE	http://www.bre.co.uk/
Arts & Humanities	Architecture	BRE Projects	http://projects.bre.co.uk/
Arts & Humanities	Architecture	Barbican: OMA/Progress	http://www.barbican.org.uk/artgallery/event-detail.asp?ID=12472
Arts & Humanities	Architecture	Baufritz UK	http://www.baufritz.com/uk/
Arts & Humanities	Architecture	Booth's Garden Studios	http://www.boothsgardenstudios.co.uk/
Arts & Humanities	Architecture	Bradenham Hall Garden and Arboretum	http://www.bradenhamhall.co.uk/
Arts & Humanities	Architecture	Breathing Buildings Ltd	http://www.breathingbuildings.com/
Arts & Humanities	Architecture	Britain Quaker Meeting Houses' Photostream	http://www.flickr.com/photos/qmh
Arts & Humanities	Architecture	British Medieval Architecture	http://www.medievalarchitecture.net/
Arts & Humanities	Architecture	British Post Office Buildings and Their Architects	http://www.britishpostofficearchitects.weebly.com/
Arts & Humanities	Architecture	Brookgate Ltd	http://www.brookgate.eu/
Arts & Humanities	Architecture	Building History	http://www.buildinghistory.org.uk/
Arts & Humanities	Architecture	Building Workers Stories - Constructing Post-War Britain: Building Workers' Stories, 1950-1970	http://www.buildingworkersstories.com/
Arts & Humanities	Architecture	Building for Life	http://www.buildingforlife.org/
Arts & Humanities	Architecture	Building4Change	http://www.building4change.com/
Arts & Humanities	Architecture	COEL	http://www.coel.uk.com/
Arts & Humanities	Architecture	Cambridgeshire Churches	http://www.druidic.org/camchurch/
Arts & Humanities	Architecture	Canterbury Cathedral	http://www.canterbury-cathedral.org/
Arts & Humanities	Architecture	Capel - Chapels Heritage Society	http://www.capeli.org.uk/
Arts & Humanities	Architecture	Capel: Cymdeithas Treftadaeth y Capeli - The Chapels Heritage Society	http://www.capeli.org.uk/
Arts & Humanities	Architecture	Cartmel Valley War Memorials	http://members.multimania.co.uk/aitch11/
Arts & Humanities	Architecture	Castle Studies Group, The	http://www.castlestudiesgroup.org.uk/
Arts & Humanities	Architecture	Castles and Fortifications of England & Wales	http://www.ecastles.co.uk/
Arts & Humanities	Architecture	Centre for Accessible Environments	http://www.cae.org.uk/
Arts & Humanities	Architecture	Chapels Society, The	http://www.chapelssociety.org.uk/
Arts & Humanities	Architecture	Charles Dickens Birthplace Museum	http://www.charlesdickensbirthplace.co.uk/
Arts & Humanities	Architecture	Charles Rennie Mackintosh Society	www.crmsociety.com/
Arts & Humanities	Architecture	Chartered Institute of Architectural Technologists (CIAT)	http://www.ciat.org.uk/
