name,color
ac.uk,#880000
at,#444444
be,#444444
biz,#444444
blogspot.com,#444444
ca,#444444
ch,#444444
cl,#444444
cn,#444444
co.in,#444444
co.jp,#444444
co.nz,#444444
co.uk,#000088
co.za,#444444
com,#444444
com.ar,#444444
com.au,#444444
com.br,#444444
com.cn,#444444
com.mx,#444444
com.pt,#444444
com.qa,#444444
com.tr,#444444
com.ve,#444444
cz,#444444
de,#444444
dk,#444444
edu,#444444
edu.au,#444444
es,#444444
eu,#444444
eu.com,#444444
fi,#444444
fr,#444444
gb.com,#444444
gov,#444444
gov.uk,#880088
gr,#444444
hu,#444444
ie,#444444
in,#444444
info,#444444
it,#444444
jp,#444444
lu,#444444
ma,#444444
me.uk,#880000
net,#444444
net.au,#444444
net.uk,#880000
nhs.uk,#880000
nl,#444444
no,#444444
nu,#444444
null,#444444
on.ca,#444444
org,#444444
org.uk,#008800
pl,#444444
rs,#444444
ru,#444444
sch.uk,#880000
se,#444444
to,#444444
tv,#444444
tw,#444444
uk.com,#444444
us,#444444
